total_sqft,baths,price
1056,2,39.07
2600,5,120
1440,2,62
1521,3,95
1200,2,51
1170,2,38
2732,4,204
3300,4,600
1310,3,63.25
1020,6,370
1800,2,70
2785,5,295
1000,2,38
1100,2,40
2250,3,148
1175,2,73.5
1180,3,48
1540,3,60
2770,4,290
1100,2,48
600,1,15
1755,3,122
2800,5,380
1767,3,103
510,1,25.25
1250,3,56
660,1,23.1
1610,3,81
1151,2,48.77
1143,2,45
1296,2,81
1254,3,38
600,1,38
660,1,48
1330.74,2,91.79
600,9,200
970,2,33
1459,2,94.82
800,1,130
869,2,36
1270,2,50
1670,3,99
2010,3,91
1185,2,75
1600,2,75
1200,2,44
1500,2,185
1407,4,150
840,2,45
4395,3,240
845,2,55
5700,5,650
1160,2,44
3000,8,140
1100,2,62
1140,2,43
1220,2,57
1350,7,85
1005,2,36.68
500,3,100
1358,2,80.58
1569,3,101
1240,2,70
2089,3,140
1206,2,48.23
1150,2,40
2511,3,205
460,1,22
4400,6,250
1660,2,105
1326,2,78
1325,2,60.8
1499,5,102
3000,7,210
1665,3,88
708,2,37
1060,2,58.06
710,6,160
1000,2,70
1000,2,28.88
1450,2,70
1200,4,155
1296,2,80
1540,3,90
2894,4,245
1330,2,48
1200,2,65
1200,3,90
2502,3,138
650,1,17
2400,2,150
1007,2,43
1200,2,50
966,2,49.9
1630,2,98
1640,3,229
782,2,55.68
1260,2,66.78
1800,3,120
1413,2,75
1116,2,51.91
1530,2,45.9
3700,4,225
2497,3,140
1540,2,64
1436,3,74.75
1100,2,75
276,3,23
1427,3,120
2061,3,200
2650,4,150
1282,2,68.52
1050,2,34
1600,3,65
945,2,54
1500,2,78
950,7,115
1870,3,110
1600,3,75
880,1,16.5
1200,4,210
1535,3,83
950,2,57
1360,2,65
1280,3,50.4
1260,2,85.05
5000,8,250
3050,5,213
1563.05,3,105
1000,2,60
1167,2,43.76
4000,7,225
1828,3,110
890,2,35
1612,3,46.74
1034,5,185
1710,4,91.31
957,2,58
1250,2,44
2795,4,235
1125,2,50
